Country,DisciplineCount,AvgAthleteCountPerDisciplinePerCountry,AthleteCountPerCountry
Chad,3,1.0,3
Paraguay,6,1.3333333333333333,8
Yemen,3,1.0,3
Chinese Taipei,18,3.7222222222222223,67
Islamic Republic of Iran,17,3.8823529411764706,66
Senegal,8,1.125,9
Sweden,23,5.608695652173913,129
Kiribati,3,1.0,3
Republic of Korea,31,7.193548387096774,222
Guyana,4,1.75,7
Philippines,10,1.8,18
Eritrea,3,4.333333333333333,13
Djibouti,3,1.3333333333333333,4
Tonga,4,1.25,5
Singapore,12,1.9166666666666667,23
Malaysia,10,2.9,29
Fiji,6,4.666666666666667,28
Turkey,18,5.666666666666667,102
Malawi,4,1.25,5
Iraq,3,1.3333333333333333,4
Germany,37,10.81081081081081,399
Comoros,2,1.5,3
Afghanistan,4,1.25,5
Cambodia,2,1.5,3
Jordan,7,1.5714285714285714,11
Maldives,3,1.3333333333333333,4
Rwanda,3,1.6666666666666667,5
Sudan,4,1.25,5
Palau,2,1.5,3
France,41,9.195121951219512,377
Greece,19,3.9473684210526314,75
Kosovo,6,1.6666666666666667,10
Sri Lanka,7,1.2857142857142858,9
Dominica,1,2.0,2
Algeria,14,2.9285714285714284,41
Equatorial Guinea,2,1.5,3
Togo,4,1.0,4
Slovakia,12,3.1666666666666665,38
"Hong Kong, China",15,2.6666666666666665,40
Argentina,31,5.806451612903226,180
Belgium,25,5.0,124
Angola,5,4.0,20
San Marino,4,1.0,4
Great Britain,35,10.457142857142857,366
Qatar,6,2.3333333333333335,14
Ecuador,17,2.7058823529411766,46
Lesotho,1,2.0,2
Madagascar,4,1.5,6
Albania,6,1.3333333333333333,8
Finland,10,4.5,45
Ghana,5,2.8,14
Myanmar,2,1.0,2
Nicaragua,6,1.3333333333333333,8
Brunei Darussalam,2,1.0,2
Benin,4,1.75,7
Peru,17,1.9411764705882353,33
Sierra Leone,3,1.3333333333333333,4
India,17,6.882352941176471,117
Bahamas,2,8.0,16
Belarus,20,5.2,104
Malta,5,1.2,6
American Samoa,4,1.25,5
Kuwait,5,2.0,10
Sao Tome and Principe,2,1.5,3
Marshall Islands,1,2.0,2
Somalia,2,1.0,2
Tuvalu,1,2.0,2
Refugee Olympic Team,11,2.3636363636363638,26
Puerto Rico,15,2.3333333333333335,35
Chile,25,2.24,56
Tajikistan,4,2.0,8
United Republic of Tanzania,1,2.0,2
Cayman Islands,3,1.6666666666666667,5
Croatia,17,3.3529411764705883,57
Burundi,3,2.0,6
Nigeria,10,5.9,59
Bolivia,3,1.6666666666666667,5
Andorra,2,1.0,2
Gabon,4,1.25,5
St Vincent and the Grenadines,1,2.0,2
Italy,39,9.128205128205128,354
Suriname,3,1.0,3
Lithuania,13,2.8461538461538463,37
Norway,18,5.111111111111111,92
Turkmenistan,4,2.0,8
Spain,36,9.0,324
Cuba,15,4.6,69
Mauritania,1,2.0,2
Niger,4,1.75,7
Denmark,18,5.722222222222222,103
Central African Republic,2,1.0,2
Barbados,2,3.5,7
Bangladesh,4,1.5,6
Ireland,20,5.8,116
Liechtenstein,3,1.6666666666666667,5
Congo,2,1.5,3
Thailand,15,2.6,39
Democratic Republic of the Congo,4,1.75,7
Bhutan,3,1.0,3
Morocco,18,2.6666666666666665,48
Monaco,5,1.2,6
Panama,5,1.8,9
Cape Verde,5,1.2,6
Nauru,2,1.0,2
Venezuela,16,2.6875,43
Ukraine,28,5.428571428571429,152
Israel,19,4.473684210526316,85
Iceland,3,1.3333333333333333,4
Saint Kitts and Nevis,1,2.0,2
"Virgin Islands, British",2,1.5,3
Oman,4,1.25,5
United States of America,44,13.977272727272727,614
Palestine,4,1.0,4
Cyprus,6,2.3333333333333335,14
Uruguay,5,2.2,11
Mexico,31,5.0,155
Aruba,2,1.5,3
C�te d'Ivoire,5,5.8,29
Estonia,15,2.2,33
Georgia,11,3.1818181818181817,35
Zimbabwe,4,1.25,5
Montenegro,7,5.0,35
Indonesia,8,3.25,26
Guatemala,10,2.2,22
Mongolia,10,4.3,43
Guam,4,1.25,5
Libya,4,1.0,4
Azerbaijan,14,2.9285714285714284,41
Grenada,2,3.0,6
Federated States of Micronesia,2,1.5,3
Armenia,8,2.0,16
Tunisia,17,3.3529411764705883,57
Liberia,1,3.0,3
Honduras,5,5.0,25
Trinidad and Tobago,8,3.875,31
Saudi Arabia,9,3.5555555555555554,32
Uganda,4,6.0,24
Namibia,6,1.8333333333333333,11
Switzerland,25,4.6,115
Zambia,5,5.8,29
Ethiopia,4,10.5,42
Latvia,15,1.9333333333333333,29
Jamaica,6,10.0,60
Eswatini,3,1.3333333333333333,4
United Arab Emirates,3,1.3333333333333333,4
South Sudan,1,2.0,2
Saint Lucia,3,1.6666666666666667,5
Guinea,4,1.25,5
Canada,40,9.2,368
Seychelles,4,1.25,5
Uzbekistan,15,4.2,63
Samoa,5,1.6,8
Kyrgyzstan,6,2.6666666666666665,16
North Macedonia,7,1.1428571428571428,8
