Country,Discipline,CoachCountPerCountryPerDiscipline,CoachCountPerCountry
Kazakhstan,Artistic Swimming,1,2
Serbia,Water Polo,1,5
People's Republic of China,Football,1,12
Canada,Basketball,1,16
Netherlands,Hockey,5,10
United States of America,Water Polo,2,28
Japan,Water Polo,2,35
Italy,Volleyball,3,14
Japan,Artistic Swimming,4,35
C�te d'Ivoire,Football,5,5
Australia,Basketball,5,22
France,Rugby Sevens,1,10
Australia,Baseball/Softball,3,22
ROC,Water Polo,1,12
France,Football,1,10
Japan,Football,6,35
Saudi Arabia,Football,2,2
New Zealand,Football,2,8
Islamic Republic of Iran,Basketball,1,2
Zambia,Football,2,2
Argentina,Hockey,2,11
India,Hockey,5,5
Venezuela,Basketball,6,10
Canada,Baseball/Softball,4,16
Argentina,Football,1,11
Cambodia,Artistic Swimming,1,1
Republic of Korea,Baseball/Softball,1,7
Ireland,Hockey,2,3
Great Britain,Rugby Sevens,2,7
Romania,Football,2,2
United States of America,Volleyball,5,28
Czech Republic,Basketball,2,2
Bahrain,Handball,1,1
ROC,Handball,1,12
Italy,Artistic Swimming,7,14
Kazakhstan,Water Polo,1,2
Japan,Basketball,5,35
New Zealand,Hockey,4,8
Australia,Water Polo,2,22
People's Republic of China,Hockey,1,12
Egypt,Handball,1,12
People's Republic of China,Water Polo,1,12
Ireland,Rugby Sevens,1,3
Portugal,Handball,1,1
Serbia,Basketball,2,5
Germany,Hockey,4,9
Slovenia,Basketball,3,3
Japan,Handball,3,35
Slovakia,Artistic Swimming,1,1
France,Artistic Swimming,1,10
Australia,Football,2,22
Republic of Korea,Basketball,1,7
Serbia,Volleyball,1,5
Kenya,Rugby Sevens,2,5
South Africa,Water Polo,2,12
Spain,Hockey,2,28
Belgium,Hockey,2,5
United States of America,Football,3,28
People's Republic of China,Volleyball,3,12
Argentina,Artistic Swimming,1,11
Argentina,Rugby Sevens,1,11
France,Volleyball,1,10
Montenegro,Water Polo,1,2
Austria,Artistic Swimming,3,3
Dominican Republic,Baseball/Softball,1,6
Dominican Republic,Volleyball,1,6
Japan,Hockey,3,35
Sweden,Handball,2,3
People's Republic of China,Basketball,2,12
ROC,Volleyball,5,12
Spain,Artistic Swimming,8,28
Brazil,Volleyball,2,7
Egypt,Artistic Swimming,6,12
Argentina,Volleyball,4,11
New Zealand,Rugby Sevens,2,8
Ukraine,Artistic Swimming,4,4
Republic of Korea,Handball,1,7
ROC,Rugby Sevens,1,12
France,Handball,2,10
Chile,Football,6,6
Denmark,Handball,2,2
Australia,Artistic Swimming,2,22
Canada,Water Polo,1,16
Norway,Handball,3,3
Canada,Hockey,2,16
Republic of Korea,Volleyball,1,7
ROC,Artistic Swimming,4,12
Canada,Volleyball,1,16
Spain,Handball,2,28
Great Britain,Football,1,7
Spain,Water Polo,2,28
Argentina,Handball,1,11
Tunisia,Volleyball,1,1
Kenya,Volleyball,3,5
Dominican Republic,Basketball,4,6
Brazil,Rugby Sevens,1,7
Japan,Baseball/Softball,4,35
Egypt,Football,5,12
United States of America,Baseball/Softball,6,28
Croatia,Water Polo,1,1
Israel,Artistic Swimming,1,2
United States of America,Rugby Sevens,2,28
Montenegro,Handball,1,2
Greece,Artistic Swimming,5,6
France,Basketball,4,10
Mexico,Artistic Swimming,2,8
Australia,Rugby Sevens,2,22
South Africa,Hockey,5,12
Australia,Hockey,6,22
United States of America,Basketball,9,28
Germany,Handball,1,9
Spain,Football,4,28
Colombia,Artistic Swimming,2,2
Italy,Water Polo,1,14
Israel,Baseball/Softball,1,2
San Marino,Artistic Swimming,2,2
Fiji,Rugby Sevens,2,2
Argentina,Basketball,1,11
Angola,Handball,1,1
Brazil,Handball,2,7
Canada,Football,1,16
Hungary,Handball,2,4
Netherlands,Artistic Swimming,1,10
Poland,Volleyball,3,3
South Africa,Football,4,12
Hungary,Water Polo,2,4
Islamic Republic of Iran,Volleyball,1,2
Netherlands,Handball,2,10
Republic of Korea,Rugby Sevens,1,7
Germany,Football,2,9
United States of America,Artistic Swimming,1,28
Netherlands,Water Polo,1,10
Venezuela,Volleyball,4,10
Japan,Volleyball,5,35
Belarus,Artistic Swimming,1,1
Belgium,Basketball,3,5
Mexico,Football,2,8
Spain,Basketball,10,28
Puerto Rico,Basketball,3,3
Canada,Artistic Swimming,4,16
Germany,Basketball,2,9
Italy,Baseball/Softball,2,14
Liechtenstein,Artistic Swimming,1,1
Turkey,Volleyball,1,1
Japan,Rugby Sevens,3,35
Sweden,Football,1,3
Netherlands,Football,1,10
Brazil,Football,2,7
People's Republic of China,Rugby Sevens,1,12
Greece,Water Polo,1,6
People's Republic of China,Artistic Swimming,3,12
Nigeria,Basketball,9,9
Honduras,Football,1,1
Great Britain,Artistic Swimming,2,7
Canada,Rugby Sevens,2,16
Republic of Korea,Football,2,7
Serbia,Artistic Swimming,1,5
Italy,Basketball,1,14
Mexico,Baseball/Softball,4,8
Great Britain,Hockey,2,7
South Africa,Rugby Sevens,1,12
