Rank,Team_Country,Gold,Silver,Bronze,Total,Rank by Total,GoldPercentage,SilverPercentage,BronzePercentage,MedalType,HasGold
1,United States of America,39,41,33,113,1,34.51327433628318,36.283185840707965,29.20353982300885,3,1
2,People's Republic of China,38,32,18,88,2,43.18181818181818,36.36363636363637,20.454545454545457,3,1
3,Japan,27,14,17,58,5,46.55172413793103,24.137931034482758,29.310344827586203,3,1
4,Great Britain,22,21,22,65,4,33.84615384615385,32.30769230769231,33.84615384615385,3,1
5,ROC,20,28,23,71,3,28.169014084507044,39.436619718309856,32.3943661971831,3,1
6,Australia,17,7,22,46,6,36.95652173913043,15.217391304347828,47.82608695652174,3,1
7,Netherlands,10,12,14,36,9,27.77777777777778,33.33333333333333,38.88888888888889,3,1
8,France,10,12,11,33,10,30.303030303030305,36.36363636363637,33.33333333333333,3,1
9,Germany,10,11,16,37,8,27.027027027027028,29.72972972972973,43.24324324324324,3,1
10,Italy,10,10,20,40,7,25.0,25.0,50.0,3,1
11,Canada,7,6,11,24,11,29.166666666666668,25.0,45.83333333333333,3,1
12,Brazil,7,6,8,21,12,33.33333333333333,28.57142857142857,38.095238095238095,3,1
13,New Zealand,7,6,7,20,13,35.0,30.0,35.0,3,1
14,Cuba,7,3,5,15,18,46.666666666666664,20.0,33.33333333333333,3,1
15,Hungary,6,7,7,20,13,30.0,35.0,35.0,3,1
16,Republic of Korea,6,4,10,20,13,30.0,20.0,50.0,3,1
17,Poland,4,5,5,14,19,28.57142857142857,35.714285714285715,35.714285714285715,3,1
18,Czech Republic,4,4,3,11,23,36.36363636363637,36.36363636363637,27.27272727272727,3,1
19,Kenya,4,4,2,10,25,40.0,40.0,20.0,3,1
20,Norway,4,2,2,8,29,50.0,25.0,25.0,3,1
21,Jamaica,4,1,4,9,26,44.44444444444444,11.11111111111111,44.44444444444444,3,1
22,Spain,3,8,6,17,17,17.647058823529413,47.05882352941176,35.294117647058826,3,1
23,Sweden,3,6,0,9,26,33.33333333333333,66.66666666666666,0.0,2,1
24,Switzerland,3,4,6,13,20,23.076923076923077,30.76923076923077,46.15384615384615,3,1
25,Denmark,3,4,4,11,23,27.27272727272727,36.36363636363637,36.36363636363637,3,1
26,Croatia,3,3,2,8,29,37.5,37.5,25.0,3,1
27,Islamic Republic of Iran,3,2,2,7,33,42.857142857142854,28.57142857142857,28.57142857142857,3,1
28,Serbia,3,1,5,9,26,33.33333333333333,11.11111111111111,55.55555555555556,3,1
29,Belgium,3,1,3,7,33,42.857142857142854,14.285714285714285,42.857142857142854,3,1
30,Bulgaria,3,1,2,6,39,50.0,16.666666666666664,33.33333333333333,3,1
31,Slovenia,3,1,1,5,42,60.0,20.0,20.0,3,1
32,Uzbekistan,3,0,2,5,42,60.0,0.0,40.0,2,1
33,Georgia,2,5,1,8,29,25.0,62.5,12.5,3,1
34,Chinese Taipei,2,4,6,12,22,16.666666666666664,33.33333333333333,50.0,3,1
35,Turkey,2,2,9,13,20,15.384615384615385,15.384615384615385,69.23076923076923,3,1
36,Greece,2,1,1,4,47,50.0,25.0,25.0,3,1
36,Uganda,2,1,1,4,47,50.0,25.0,25.0,3,1
38,Ecuador,2,1,0,3,60,66.66666666666666,33.33333333333333,0.0,2,1
39,Ireland,2,0,2,4,47,50.0,0.0,50.0,2,1
39,Israel,2,0,2,4,47,50.0,0.0,50.0,2,1
41,Qatar,2,0,1,3,60,66.66666666666666,0.0,33.33333333333333,2,1
42,Bahamas,2,0,0,2,66,100.0,0.0,0.0,1,1
42,Kosovo,2,0,0,2,66,100.0,0.0,0.0,1,1
44,Ukraine,1,6,12,19,16,5.263157894736842,31.57894736842105,63.1578947368421,3,1
45,Belarus,1,3,3,7,33,14.285714285714285,42.857142857142854,42.857142857142854,3,1
46,Romania,1,3,0,4,47,25.0,75.0,0.0,2,1
46,Venezuela,1,3,0,4,47,25.0,75.0,0.0,2,1
48,India,1,2,4,7,33,14.285714285714285,28.57142857142857,57.14285714285714,3,1
49,"Hong Kong, China",1,2,3,6,39,16.666666666666664,33.33333333333333,50.0,3,1
50,Philippines,1,2,1,4,47,25.0,50.0,25.0,3,1
50,Slovakia,1,2,1,4,47,25.0,50.0,25.0,3,1
52,South Africa,1,2,0,3,60,33.33333333333333,66.66666666666666,0.0,2,1
53,Austria,1,1,5,7,33,14.285714285714285,14.285714285714285,71.42857142857143,3,1
54,Egypt,1,1,4,6,39,16.666666666666664,16.666666666666664,66.66666666666666,3,1
55,Indonesia,1,1,3,5,42,20.0,20.0,60.0,3,1
56,Ethiopia,1,1,2,4,47,25.0,25.0,50.0,3,1
56,Portugal,1,1,2,4,47,25.0,25.0,50.0,3,1
58,Tunisia,1,1,0,2,66,50.0,50.0,0.0,2,1
59,Estonia,1,0,1,2,66,50.0,0.0,50.0,2,1
59,Fiji,1,0,1,2,66,50.0,0.0,50.0,2,1
59,Latvia,1,0,1,2,66,50.0,0.0,50.0,2,1
59,Thailand,1,0,1,2,66,50.0,0.0,50.0,2,1
63,Bermuda,1,0,0,1,77,100.0,0.0,0.0,1,1
63,Morocco,1,0,0,1,77,100.0,0.0,0.0,1,1
63,Puerto Rico,1,0,0,1,77,100.0,0.0,0.0,1,1
66,Colombia,0,4,1,5,42,0.0,80.0,20.0,2,0
67,Azerbaijan,0,3,4,7,33,0.0,42.857142857142854,57.14285714285714,2,0
68,Dominican Republic,0,3,2,5,42,0.0,60.0,40.0,2,0
69,Armenia,0,2,2,4,47,0.0,50.0,50.0,2,0
70,Kyrgyzstan,0,2,1,3,60,0.0,66.66666666666666,33.33333333333333,2,0
71,Mongolia,0,1,3,4,47,0.0,25.0,75.0,2,0
72,Argentina,0,1,2,3,60,0.0,33.33333333333333,66.66666666666666,2,0
72,San Marino,0,1,2,3,60,0.0,33.33333333333333,66.66666666666666,2,0
74,Jordan,0,1,1,2,66,0.0,50.0,50.0,2,0
74,Malaysia,0,1,1,2,66,0.0,50.0,50.0,2,0
74,Nigeria,0,1,1,2,66,0.0,50.0,50.0,2,0
77,Bahrain,0,1,0,1,77,0.0,100.0,0.0,1,0
77,Saudi Arabia,0,1,0,1,77,0.0,100.0,0.0,1,0
77,Lithuania,0,1,0,1,77,0.0,100.0,0.0,1,0
77,North Macedonia,0,1,0,1,77,0.0,100.0,0.0,1,0
77,Namibia,0,1,0,1,77,0.0,100.0,0.0,1,0
77,Turkmenistan,0,1,0,1,77,0.0,100.0,0.0,1,0
83,Kazakhstan,0,0,8,8,29,0.0,0.0,100.0,1,0
84,Mexico,0,0,4,4,47,0.0,0.0,100.0,1,0
85,Finland,0,0,2,2,66,0.0,0.0,100.0,1,0
86,Botswana,0,0,1,1,77,0.0,0.0,100.0,1,0
